id,startup_id,round_type,amount_raised_usd,investor_id,funding_date,equity_diluted_percent,valuation_after_round_usd,lead_investor,currency,created_at,updated_at
53,23,Seed,3947202,12,2024-06-17,5.73,11836059,Yes,USD,2022-07-01 11:11:56,2024-04-16 08:09:35
54,24,Bridge,968306,12,2019-03-31,22.3,1354593,No,USD,2023-07-25 07:33:12,2024-07-21 22:43:22
55,24,Series C,1427067,3,2020-11-29,20.8,2727245,No,USD,2018-06-17 19:52:58,2024-10-02 02:37:14
56,24,Series C,593287,10,2021-11-10,25.72,4411560,No,USD,2020-06-19 22:29:44,2023-02-02 13:08:30
57,24,Angel,2480930,14,2023-02-10,9.99,12210322,No,USD,2020-10-21 12:06:53,2023-05-24 02:42:20
58,25,Series C,1087469,6,2023-05-22,11.43,1289356,Yes,USD,2019-12-13 13:01:32,2023-09-21 16:07:32
59,25,Convertible Note,1022618,19,2024-06-26,28.32,2243061,No,USD,2024-05-27 07:05:38,2024-03-17 07:01:50
60,25,Series A,1497018,3,2023-06-12,23.62,5375651,Yes,USD,2021-06-26 10:02:45,2023-12-04 23:39:52
61,25,Angel,462233,14,2023-06-22,10.69,15436554,Yes,USD,2019-12-11 06:17:50,2023-08-23 16:58:35
62,26,Series B,4411767,3,2023-05-17,12.29,1008117,Yes,USD,2018-08-23 04:23:38,2023-09-06 12:19:23
63,27,Angel,593954579,8,2020-08-07,11.16,881778,Yes,USD,2023-04-15 11:49:23,2024-03-28 12:29:11
64,28,Seed,12251670,19,2015-04-10,23.71,998426,No,USD,2020-03-05 02:33:54,2024-12-25 06:41:19
65,29,Bridge,2779652,3,2013-11-09,22.14,1029384,Yes,USD,2024-07-25 15:30:07,2024-11-25 20:06:20
66,29,Pre-Seed,1911277,19,2015-07-29,28.72,1771174,No,USD,2024-10-13 04:24:57,2023-12-14 02:58:28
67,30,Angel,34374090,14,2018-08-02,22.13,833657,Yes,USD,2018-08-08 23:32:31,2023-08-23 19:09:10
68,30,Seed,40042796,13,2023-05-13,27.5,1938183,No,USD,2022-12-19 06:43:29,2024-03-21 15:07:49
69,31,Series C,4793903,15,2021-06-19,5.02,1173660,No,USD,2021-11-19 19:47:39,2023-03-24 11:55:12
70,33,Series B,774963,1,2024-07-14,29.7,988347,Yes,USD,2019-06-21 20:24:47,2024-06-17 07:35:31
71,34,Series A,3323817,12,2018-08-15,9.25,1455099,No,USD,2023-08-23 12:28:48,2024-02-11 01:15:41
72,35,Series B,271377,7,2018-01-23,15.2,1203440,No,USD,2021-11-26 09:40:04,2024-07-03 22:46:09
73,36,Bridge,4744138,2,2016-11-05,27.22,1128741,Yes,USD,2023-01-03 05:04:03,2023-11-18 03:15:15
74,36,Series B,3348219,18,2019-06-25,8.99,1794878,Yes,USD,2019-02-08 07:34:42,2024-07-14 05:23:50
75,37,Angel,67902170,7,2019-11-11,27.04,1328211,No,USD,2023-11-13 03:46:49,2024-10-14 13:14:26
76,37,Pre-Seed,510354121,3,2024-05-15,29.76,3063128,No,USD,2024-09-24 00:29:47,2024-06-06 18:45:19
77,38,Bridge,2222253,2,2015-04-05,13.84,888140,Yes,USD,2020-11-18 22:45:06,2023-02-21 15:58:00
78,38,Convertible Note,678737,9,2021-04-15,14.13,1909991,Yes,USD,2023-12-24 19:20:06,2023-07-04 06:29:00
79,38,Series C,539432,19,2023-06-14,7.01,5055978,No,USD,2021-05-29 11:16:59,2024-01-08 13:38:30
80,38,Angel,2787194,11,2019-05-15,25.57,10582879,Yes,USD,2023-02-01 13:31:05,2023-08-30 14:28:46
81,39,Bridge,201549021,14,2022-05-08,19.62,856024,No,USD,2019-03-13 04:47:25,2024-01-26 14:34:14
82,40,Series C,1724446,15,2022-07-21,9.89,1120814,No,USD,2021-03-19 01:10:46,2023-05-24 06:43:41
83,41,Bridge,344383,13,2023-04-11,9.4,976444,No,USD,2020-04-18 23:13:00,2023-10-31 21:07:04
84,41,Convertible Note,1072616,10,2020-12-14,20.66,2605838,Yes,USD,2022-03-15 05:18:32,2023-08-21 03:38:25
85,41,Bridge,634548,14,2021-12-08,16.98,7376508,No,USD,2022-05-10 10:24:34,2024-08-01 12:37:32
86,42,Pre-Seed,14725754,18,2022-09-28,29.03,1033053,Yes,USD,2018-04-26 08:34:14,2024-05-13 21:38:58
87,42,Series A,27148541,3,2022-08-02,13.61,2679124,Yes,USD,2019-08-17 22:38:07,2024-11-08 20:10:30
88,42,Pre-Seed,25922946,8,2017-02-21,6.61,5344171,No,USD,2018-07-24 12:47:59,2024-12-03 04:37:06
89,42,Seed,36654615,5,2019-10-05,8.92,11636899,No,USD,2019-05-24 16:12:01,2023-03-31 17:07:28
90,43,Pre-Seed,4230377,15,2021-11-23,20.32,1000999,No,USD,2024-06-19 15:57:18,2024-08-18 19:28:39
91,43,Pre-Seed,2848483,5,2017-03-12,17.26,1743584,Yes,USD,2021-02-17 17:54:26,2023-12-10 13:22:33
92,43,Seed,4684022,1,2020-11-07,6.92,4349133,Yes,USD,2021-07-07 13:55:15,2023-04-07 13:12:53
93,43,Seed,1610653,12,2019-12-14,16.22,10414288,Yes,USD,2022-08-25 03:26:38,2023-11-09 19:26:13
94,45,Seed,385975,7,2019-11-23,26.32,1180469,Yes,USD,2022-05-25 16:10:44,2023-02-18 03:48:13
95,45,Pre-Seed,1247718,16,2017-11-26,9.71,1906799,Yes,USD,2019-04-16 12:14:51,2024-12-08 06:26:58
96,45,Seed,707672,20,2023-08-28,18.17,3080095,No,USD,2024-06-27 01:48:54,2023-02-16 09:44:38
97,45,Pre-Seed,708921,6,2020-09-29,13.93,6820354,No,USD,2022-03-02 16:49:21,2024-05-30 07:21:44
98,46,Series A,45839562,19,2020-02-24,23.96,1198276,Yes,USD,2019-09-20 15:54:17,2023-08-12 19:40:09
99,46,Angel,21819566,11,2015-03-10,15.95,3194356,No,USD,2018-10-13 19:44:47,2023-07-08 10:35:56
100,46,Seed,42434982,9,2023-05-02,17.34,8332736,No,USD,2020-01-06 03:52:45,2023-07-06 22:12:25
101,46,Pre-Seed,8354685,13,2016-08-13,19.29,21201148,No,USD,2022-01-06 08:06:52,2023-08-01 23:49:35
102,47,Series C,62947909,13,2016-06-10,24.4,820362,Yes,USD,2018-02-05 15:38:25,2024-06-17 21:47:21
103,47,Pre-Seed,174847377,10,2018-01-24,27.05,1953048,No,USD,2019-07-10 20:17:58,2023-02-02 17:47:39
104,47,Angel,188807638,16,2021-02-18,24.41,3244826,Yes,USD,2021-09-08 20:48:59,2023-04-06 13:25:32
105,48,Seed,27875125,20,2020-04-11,9.8,911844,No,USD,2023-01-29 00:30:44,2023-05-20 03:30:42
106,50,Series B,24262907,6,2021-09-17,8.32,1279760,Yes,USD,2019-12-01 23:54:17,2023-04-07 22:39:33
107,50,Series A,131907124,8,2021-01-13,23.34,2710137,No,USD,2021-07-04 09:57:00,2023-04-07 17:06:41
108,51,Series B,2451967,18,2020-01-14,8.88,876146,Yes,USD,2019-10-07 22:17:15,2024-01-12 00:44:38
109,51,Series B,3884429,3,2018-04-29,21.71,1854826,No,USD,2018-09-24 10:26:17,2023-01-09 19:51:36
110,51,Series B,1064447,12,2019-02-28,20.52,3641754,Yes,USD,2020-02-28 14:02:20,2023-11-15 20:08:19
111,52,Seed,23163888,2,2024-09-14,27.73,1225078,Yes,USD,2022-04-29 02:42:57,2023-03-14 00:41:12
112,52,Series C,13062449,9,2021-01-12,23.73,2424781,Yes,USD,2018-05-25 20:11:15,2024-05-06 12:45:24
113,52,Bridge,19765120,14,2020-12-10,24.38,6052126,No,USD,2020-08-15 07:34:24,2023-04-06 18:16:05
114,53,Series A,2753617,20,2018-03-04,24.59,1257605,No,USD,2019-06-04 08:41:40,2023-06-02 09:00:24
115,55,Angel,1100543329,9,2022-08-07,9.78,1308509,No,USD,2023-10-21 17:38:14,2023-09-01 08:13:30
116,55,Series C,220376377,17,2022-04-11,15.9,3805937,No,USD,2018-06-02 16:27:49,2024-01-06 09:11:18
117,55,Series A,1562405006,13,2024-12-15,28.62,8917424,No,USD,2021-11-08 00:28:17,2023-07-29 10:52:53
118,55,Pre-Seed,1240624629,6,2024-04-10,20.84,24905948,No,USD,2024-10-29 08:56:58,2024-05-06 20:55:00
119,56,Bridge,1969784,7,2017-08-14,20.02,962534,No,USD,2022-07-17 10:02:16,2024-04-13 03:51:35
120,56,Series A,219001,19,2022-12-14,19.72,1498139,No,USD,2019-07-13 17:32:29,2023-08-06 08:18:47
121,57,Bridge,69502626,14,2023-02-04,19.73,1472153,No,USD,2023-02-15 00:26:44,2023-04-20 14:44:54
122,57,Pre-Seed,58347182,3,2018-11-07,20.53,3498370,Yes,USD,2018-11-27 00:48:13,2024-06-20 08:50:45
123,57,Convertible Note,13974635,16,2021-01-15,15.47,7014524,No,USD,2018-01-01 20:21:04,2024-07-09 23:32:27
124,57,Pre-Seed,13074422,10,2018-11-07,19.07,14565933,Yes,USD,2020-04-17 09:44:13,2024-01-12 19:56:40
125,58,Series C,512837,9,2021-08-20,23.99,1412207,Yes,USD,2021-10-04 13:26:54,2024-12-25 18:50:14
126,58,Convertible Note,5957197,5,2020-12-18,27.53,2776822,No,USD,2018-10-23 15:53:44,2024-07-03 18:10:57
127,58,Series C,13647564,10,2018-05-17,26.11,6021688,No,USD,2018-08-17 21:54:15,2024-07-05 10:55:45
128,58,Convertible Note,7377839,13,2021-05-17,17.85,15757867,Yes,USD,2022-08-12 07:33:41,2023-10-22 18:15:48
129,59,Pre-Seed,1008163,17,2020-12-07,10.52,896896,Yes,USD,2018-03-31 02:54:48,2023-05-25 14:35:36
130,59,Bridge,899323,20,2024-04-10,10.21,1458432,No,USD,2023-08-26 11:09:58,2024-12-26 15:29:22
131,59,Bridge,1195828,7,2021-05-06,13.19,2294345,Yes,USD,2018-07-31 06:47:27,2023-08-09 08:19:43
132,59,Series B,643096,9,2021-07-09,17.72,5605777,No,USD,2020-09-28 07:06:34,2023-03-15 21:09:12
133,60,Series C,2044421,3,2022-09-03,22.85,1259720,Yes,USD,2023-01-12 07:53:07,2024-04-02 09:17:55
134,60,Series C,2133507,14,2020-12-20,21.88,2761717,Yes,USD,2022-05-09 07:25:28,2024-07-05 10:44:02
135,62,Convertible Note,1311348,12,2018-02-11,22.1,1337667,Yes,USD,2021-03-14 16:45:21,2023-05-22 18:22:54
136,62,Series A,2071184,9,2012-08-13,29.06,3511184,Yes,USD,2023-05-05 12:29:26,2024-07-24 15:18:01
137,62,Series B,830394,16,2021-06-12,16.68,5385422,Yes,USD,2021-06-16 19:28:22,2023-07-24 09:05:04
138,62,Series C,2176291,7,2013-05-01,20.55,14270270,Yes,USD,2018-05-13 20:45:02,2024-08-07 08:47:02
139,63,Series C,1035564,17,2021-11-04,11.05,1017801,No,USD,2020-12-14 10:15:33,2023-12-08 20:42:27
140,63,Series C,715903,6,2022-02-15,26.62,2048766,Yes,USD,2022-08-13 13:02:40,2024-11-30 21:48:00
141,63,Pre-Seed,745738,19,2021-06-11,6.75,4506511,Yes,USD,2021-06-14 18:48:42,2024-01-06 13:04:05
142,63,Bridge,1948077,3,2021-06-27,18.69,8884754,No,USD,2023-08-20 06:47:28,2023-10-11 12:27:04
143,65,Series B,31766924,3,2023-09-23,21.07,1086507,No,USD,2023-09-25 15:42:00,2023-10-15 23:29:46
144,65,Bridge,27036518,13,2024-02-21,27.14,2723679,Yes,USD,2022-03-08 22:08:23,2024-02-18 10:38:37
145,65,Series C,1325809,20,2018-10-05,11.91,6237581,Yes,USD,2020-08-11 22:14:00,2023-07-04 18:45:11
146,66,Bridge,1398617,11,2023-10-12,25.95,1391524,Yes,USD,2024-12-27 17:27:11,2023-06-09 02:16:03
147,66,Series C,481994,3,2024-06-28,14.71,2538727,Yes,USD,2021-06-16 15:19:28,2023-09-07 06:35:37
148,66,Seed,1262544,17,2023-12-14,9.19,5536137,No,USD,2021-05-10 09:52:08,2023-01-03 06:20:38
149,66,Series B,1382902,6,2023-08-20,24.58,9160465,No,USD,2020-07-13 11:05:34,2024-11-29 22:48:55
150,67,Bridge,5402510,16,2024-09-08,12.56,1444253,Yes,USD,2019-01-05 06:58:23,2023-03-20 16:43:12
151,67,Pre-Seed,2571530,12,2023-02-05,11.69,2936184,No,USD,2021-07-27 17:52:05,2023-12-24 06:39:59
152,67,Series C,10898754,4,2024-09-28,18.76,5143258,No,USD,2021-11-08 19:51:39,2023-03-01 18:33:19
153,67,Seed,15579233,18,2024-02-08,13.26,9032660,Yes,USD,2022-03-24 14:22:48,2024-09-27 05:13:34
154,68,Seed,662084,19,2014-01-21,18.69,983286,Yes,USD,2018-08-16 06:34:04,2023-09-22 12:12:16
155,68,Angel,562910,6,2014-04-22,22.23,1934748,No,USD,2024-06-10 14:47:53,2023-09-05 01:53:37
156,69,Angel,465559,5,2022-04-19,27.62,1136257,No,USD,2019-01-07 02:18:46,2024-02-16 02:12:15
157,70,Series C,2051059,12,2021-03-12,26.22,1230834,Yes,USD,2021-08-06 07:02:12,2023-03-02 09:18:00
158,71,Convertible Note,35957208,4,2016-07-13,20.42,815963,No,USD,2022-01-16 19:35:19,2024-11-10 10:20:29
159,71,Bridge,49956010,14,2018-08-30,23.73,2251336,No,USD,2021-08-26 09:07:50,2024-07-25 23:11:38
160,71,Seed,9686446,20,2022-09-15,11.67,4750126,Yes,USD,2018-08-14 13:19:43,2023-03-26 19:58:46
161,71,Seed,1737318,4,2023-10-16,23.71,10113144,No,USD,2024-11-27 02:01:03,2024-12-20 23:33:40
162,72,Angel,4395289,4,2024-02-19,18.39,850498,No,USD,2023-08-25 04:09:43,2023-03-27 20:51:31
163,72,Series C,10904477,13,2024-09-25,19.21,1788735,No,USD,2019-08-22 00:33:12,2024-10-08 08:31:36
164,73,Pre-Seed,3185654,8,2020-07-23,21.55,1008947,No,USD,2023-07-10 04:48:08,2024-07-18 20:29:03
165,74,Angel,811392,15,2024-09-27,11.68,772879,No,USD,2024-11-26 15:47:08,2023-09-18 06:35:29
166,74,Seed,807117,3,2021-08-27,13.37,1866572,Yes,USD,2021-09-18 21:32:56,2024-10-19 00:45:59
167,75,Bridge,233419,2,2021-08-12,18.81,1354510,Yes,USD,2020-01-16 08:00:26,2024-01-03 09:56:30
168,75,Series B,1146140,13,2023-11-19,29.49,3971327,No,USD,2018-06-20 22:37:01,2023-09-21 02:40:32
169,76,Bridge,1844765,9,2018-04-16,5.88,1472202,No,USD,2021-09-10 20:53:22,2024-03-17 04:14:32
170,76,Convertible Note,2426517,17,2020-12-18,23.2,3331576,No,USD,2021-11-24 13:44:58,2024-09-20 19:53:15
171,76,Seed,1064041,2,2020-09-02,21.18,6943101,Yes,USD,2024-08-20 00:56:05,2023-04-11 23:55:12
172,77,Pre-Seed,1372065,19,2017-02-08,21.64,1111495,No,USD,2018-11-23 18:39:00,2023-08-08 16:01:13
173,77,Series C,708572,9,2023-08-11,29.87,2934226,No,USD,2020-10-04 17:10:45,2024-08-06 09:19:04
174,77,Seed,1288906,19,2022-03-14,6.19,6424200,No,USD,2020-08-13 09:28:08,2024-07-28 07:37:22
175,77,Seed,1914796,2,2023-03-14,19.11,14206142,Yes,USD,2019-06-01 21:46:25,2024-05-20 00:51:35
176,78,Bridge,4635229,14,2024-12-19,13.29,1311161,Yes,USD,2024-08-25 05:23:49,2024-11-10 21:34:42
177,78,Angel,1532532,6,2024-01-15,18.41,3000337,Yes,USD,2019-03-30 16:13:09,2023-09-09 11:13:02
178,78,Bridge,4477797,14,2022-01-01,23.19,6814841,No,USD,2023-06-10 13:40:31,2024-05-29 00:39:25
179,79,Series C,58936599,9,2019-04-19,19.36,1109722,No,USD,2021-10-03 04:05:14,2024-01-01 20:12:05
180,79,Convertible Note,86737475,11,2016-07-23,28.09,3158085,No,USD,2021-01-29 17:45:29,2023-10-11 02:43:04
181,79,Series B,103754804,6,2022-08-12,16.09,7976868,Yes,USD,2019-04-28 19:39:31,2024-03-10 08:21:14
182,81,Bridge,945731,3,2022-08-10,13.95,1340347,No,USD,2021-06-26 03:39:25,2024-03-27 16:38:27
183,81,Series A,1715455,2,2020-05-06,28.89,2026476,No,USD,2023-08-28 05:03:53,2023-04-23 12:50:12
184,81,Pre-Seed,380064,11,2020-06-15,16.88,5345643,Yes,USD,2019-12-08 08:09:08,2024-06-20 08:48:34
185,82,Series B,10269725,13,2023-04-21,18.83,875544,No,USD,2022-11-21 20:44:03,2023-03-26 20:55:32
186,82,Pre-Seed,4806927,7,2022-02-07,27.75,1323962,Yes,USD,2018-10-22 10:55:14,2024-03-25 23:15:23
187,83,Bridge,1219153,12,2020-08-29,11.53,828245,No,USD,2018-03-06 11:15:37,2023-06-07 12:02:39
188,83,Bridge,1216187,13,2024-02-06,22.51,2305575,No,USD,2019-07-12 01:40:21,2023-07-31 12:59:44
189,83,Series B,1402476,20,2024-09-30,8.83,3676123,No,USD,2022-08-02 14:47:40,2024-11-30 04:51:32
190,83,Series C,289283,3,2021-01-03,29.25,6455524,Yes,USD,2024-03-31 07:55:01,2024-11-20 15:29:21
191,84,Angel,949445,13,2019-01-18,15.42,1435639,Yes,USD,2024-10-23 11:25:30,2024-10-18 16:17:18
192,84,Bridge,221203,20,2017-04-02,25.78,3113494,No,USD,2018-12-03 21:50:57,2024-07-30 22:36:06
193,84,Seed,4025916,12,2017-10-08,8.83,6927249,No,USD,2021-05-09 03:50:19,2024-09-10 05:21:13
194,86,Bridge,4823677,6,2022-10-31,23.98,1214934,Yes,USD,2023-10-21 20:21:42,2024-08-07 15:17:28
195,87,Bridge,94287958,11,2013-10-28,17.04,1034426,No,USD,2021-08-28 09:46:39,2023-09-27 20:50:45
196,87,Series A,171635509,8,2022-09-09,18.43,2847791,No,USD,2019-02-22 10:55:26,2024-07-31 05:09:46
197,87,Pre-Seed,223019797,20,2014-03-17,17.17,6758929,Yes,USD,2021-05-07 03:22:13,2024-01-04 18:29:29
198,87,Seed,13877646,4,2015-10-06,28.74,16870187,No,USD,2023-03-09 14:54:14,2023-10-22 19:16:15
199,88,Series B,745628502,5,2019-12-10,13.81,1152419,No,USD,2023-04-03 16:21:25,2023-09-18 03:14:21
200,89,Convertible Note,1496126,18,2019-05-17,26.89,821423,No,USD,2023-03-31 06:39:42,2023-11-18 04:15:55
201,89,Angel,2449852,12,2019-11-03,18.82,1683981,No,USD,2023-06-14 23:38:19,2024-05-14 11:59:32
202,89,Seed,1914565,5,2023-11-28,24.34,3542553,No,USD,2019-04-27 06:26:10,2023-09-02 06:47:47
203,90,Convertible Note,326228,15,2020-07-27,11.29,975437,No,USD,2019-01-29 08:46:31,2024-11-16 18:31:46
204,90,Series A,19718357,12,2024-01-01,12.98,1645297,No,USD,2018-06-20 16:45:13,2024-05-26 09:23:45
205,90,Bridge,2688370,1,2021-01-26,20.21,2770666,No,USD,2019-02-17 00:04:29,2023-12-23 19:43:01
206,91,Seed,1119243,13,2024-04-16,19.32,1312278,No,USD,2024-06-11 01:31:34,2024-03-18 22:38:11
207,92,Series C,45827589,5,2022-08-13,23.73,823400,No,USD,2024-06-26 07:42:35,2024-08-22 13:28:25
208,92,Series A,23885441,14,2024-09-23,30.0,2467994,No,USD,2021-12-29 22:33:38,2024-02-22 01:31:03
209,92,Convertible Note,8795781,18,2023-03-16,11.75,4193761,Yes,USD,2020-05-25 07:51:22,2023-04-20 06:39:00
210,93,Series B,597539,15,2022-06-23,9.12,785346,No,USD,2024-11-21 07:27:25,2024-11-19 07:20:30
211,94,Convertible Note,2299017,9,2024-06-16,29.08,1463020,Yes,USD,2018-02-15 21:03:58,2024-04-12 21:46:14
212,94,Series C,14861706,18,2023-06-07,14.75,4045574,Yes,USD,2023-10-05 05:54:21,2023-07-05 21:26:15
213,94,Convertible Note,9072346,3,2023-05-25,27.16,10361981,No,USD,2022-10-24 18:06:05,2023-05-10 21:08:12
214,94,Angel,2735333,6,2023-11-27,26.67,19644048,No,USD,2018-12-05 03:37:31,2024-10-19 17:36:51
215,95,Series C,2795000,13,2023-11-23,16.29,1398860,No,USD,2021-01-22 12:58:23,2024-12-17 06:11:23
216,95,Series C,1375093,3,2023-04-23,18.02,2699261,No,USD,2018-12-16 06:24:58,2024-04-05 06:32:01
217,96,Angel,321506,18,2021-07-25,22.25,904558,Yes,USD,2022-12-26 23:27:32,2023-11-05 03:34:49
218,96,Series B,1241561,9,2023-02-22,21.77,2631042,Yes,USD,2018-04-25 02:16:42,2024-06-18 07:12:15
219,96,Series C,759861,4,2021-08-16,9.61,7793584,Yes,USD,2024-01-28 06:58:24,2023-01-12 06:00:32
220,97,Bridge,5083509,16,2023-02-17,23.31,1101534,Yes,USD,2022-09-24 21:42:30,2024-03-21 03:34:15
221,97,Convertible Note,6528641,20,2024-01-18,5.06,1890862,No,USD,2023-06-01 22:53:04,2024-10-13 13:11:06
222,97,Convertible Note,2670977,18,2024-06-20,26.14,2954840,No,USD,2024-04-16 01:42:19,2023-04-16 16:24:52
223,97,Series A,950211,6,2024-02-01,26.12,5434784,No,USD,2022-06-29 08:39:27,2024-04-23 09:06:37
224,98,Bridge,277605,8,2020-10-31,22.04,992175,No,USD,2020-10-21 18:02:36,2024-12-27 15:41:00
225,99,Series B,17740698,4,2022-02-08,22.07,1002219,Yes,USD,2024-03-12 02:47:55,2024-01-18 17:36:06
