id,startup_name,slug,dpiit_recognized,registration_number,founded_year,founder_count,sector_id,state_id,city,funding_stage,total_funding_usd,valuation_usd,annual_revenue_inr,employee_count,women_led,sustainability_focus,ai_enabled,export_business,website,email,phone,linkedin_url,status,last_funding_date,growth_percentage,jobs_created,patents_filed,description,created_at,updated_at
11,PayZen Tech,payzen-tech,No,DPIIT60413,2014,4,11,7,Kanpur,Series A,13074681,47391355,324058375,2781,No,Yes,No,No,https://www.payzen-tech.in,hello@payzen-tech.io,+91-7374736832,https://linkedin.com/company/payzen-tech,Active,2022-12-30,177.5,965,2,"A leading Cybersecurity startup based in Kanpur, focused on scalable solutions.",2014-01-18 11:35:30,2023-05-17 03:03:58
12,GeneticaAI Ventures,geneticaai-ventures,Yes,DPIIT13453,2015,1,10,8,Thiruvananthapuram,Series A,19013208,85784624,297084514,3499,No,No,Yes,No,https://www.geneticaai-ventures.io,hello@geneticaai-ventures.com,+91-7455308752,https://linkedin.com/company/geneticaai-ventures,Active,2017-05-13,23.38,2716,18,"A leading DeepTech startup based in Thiruvananthapuram, focused on AI-driven insights.",2016-08-31 05:01:09,2024-01-10 04:05:15
13,BioCore,biocore,No,DPIIT89190,2023,3,5,4,Warangal,Series C,963025,459596809,402636954,4370,No,Yes,Yes,No,https://www.biocore.com,hello@biocore.in,+91-8819437333,https://linkedin.com/company/biocore,Failed,2023-11-03,-75.8,3723,4,"A pioneering AI/ML startup based in Warangal, focused on market disruption.",2024-05-28 09:45:14,2024-03-09 05:17:05
14,OrderFresh AI,orderfresh-ai,Yes,DPIIT35523,2023,4,7,18,Manali,Series A,5939470,16254485,211609606,1554,No,No,Yes,Yes,https://www.orderfresh-ai.io,hello@orderfresh-ai.io,+91-8440839808,https://linkedin.com/company/orderfresh-ai,Active,2024-07-26,40.99,59,1,"A pioneering E-Commerce startup based in Manali, focused on scalable solutions.",2024-07-08 03:04:13,2024-09-03 00:48:58
15,ShopZone Labs,shopzone-labs,No,DPIIT75564,2019,3,2,4,Karimnagar,Seed,1356680,6772879,25091832,149,No,Yes,Yes,No,https://www.shopzone-labs.io,hello@shopzone-labs.com,+91-9897756110,https://linkedin.com/company/shopzone-labs,Active,2019-07-07,342.8,26,2,"A emerging HealthTech startup based in Karimnagar, focused on market disruption.",2019-04-14 16:51:49,2023-06-03 00:37:50
16,CarbonCut Hub,carboncut-hub,Yes,DPIIT54749,2013,2,10,4,Hyderabad,Seed,3862083,13562757,43280116,165,No,No,Yes,No,https://www.carboncut-hub.io,hello@carboncut-hub.in,+91-8547546972,https://linkedin.com/company/carboncut-hub,Active,2018-03-13,171.03,161,27,"A emerging DeepTech startup based in Hyderabad, focused on digital transformation.",2014-12-31 21:24:15,2023-08-02 19:38:04
17,FarmByte Pro,farmbyte-pro,Yes,DPIIT57622,2020,4,4,5,Salem,Bootstrapped,0,1196404,412413472,84,Yes,No,Yes,No,https://www.farmbyte-pro.co.in,hello@farmbyte-pro.in,+91-9032640310,https://linkedin.com/company/farmbyte-pro,Active,,325.6,34,3,"A innovative AgriTech startup based in Salem, focused on digital transformation.",2021-08-05 15:02:23,2023-10-21 12:26:54
18,RideFast Plus,ridefast-plus,No,DPIIT30258,2022,4,17,1,Mangaluru,Bootstrapped,0,2631048,201619587,26,No,Yes,Yes,No,https://www.ridefast-plus.co.in,hello@ridefast-plus.com,+91-7957998014,https://linkedin.com/company/ridefast-plus,Acquired,,238.91,14,3,"A leading FoodTech startup based in Mangaluru, focused on sustainable growth.",2023-04-23 14:41:34,2024-04-21 03:05:11
19,NanoTech India,nanotech-india,Yes,DPIIT37979,2021,4,14,11,Jalandhar,Seed,2378754,4108957,171341012,92,No,No,No,No,https://www.nanotech-india.com,hello@nanotech-india.in,+91-8847307234,https://linkedin.com/company/nanotech-india,Active,2023-09-23,181.68,62,1,"A leading EV startup based in Jalandhar, focused on scalable solutions.",2021-01-24 21:27:17,2023-09-16 20:11:05
20,LearnSphere India,learnsphere-india,No,DPIIT48915,2020,3,10,2,Mumbai,Bootstrapped,0,3786793,468769788,112,No,Yes,Yes,No,https://www.learnsphere-india.io,hello@learnsphere-india.in,+91-9068564728,https://linkedin.com/company/learnsphere-india,Active,,311.13,62,17,"A innovative DeepTech startup based in Mumbai, focused on AI-driven insights.",2020-12-29 22:36:24,2023-01-11 17:50:57
21,QuantumTech Labs,quantumtech-labs,No,DPIIT26478,2012,4,11,1,Mysuru,Series B,409301,364949193,395254690,2642,No,No,No,Yes,https://www.quantumtech-labs.com,hello@quantumtech-labs.com,+91-7805980442,https://linkedin.com/company/quantumtech-labs,Failed,2015-05-17,-79.74,1723,5,"A innovative Cybersecurity startup based in Mysuru, focused on market disruption.",2013-01-21 06:22:13,2023-07-15 21:36:00
22,BuildBot Ventures,buildbot-ventures,No,DPIIT70138,2022,4,17,1,Mangaluru,Bootstrapped,968333,1046439,376443035,132,No,No,No,No,https://www.buildbot-ventures.co.in,hello@buildbot-ventures.in,+91-8224185638,https://linkedin.com/company/buildbot-ventures,Failed,,-56.49,113,5,"A pioneering FoodTech startup based in Mangaluru, focused on market disruption.",2022-04-12 02:51:53,2023-04-17 02:41:01
23,LabGen AI,labgen-ai,Yes,DPIIT70810,2018,4,15,1,Bengaluru,Series A,18520265,29970530,359474151,2424,No,No,No,No,https://www.labgen-ai.com,hello@labgen-ai.in,+91-7961800379,https://linkedin.com/company/labgen-ai,Active,2020-05-17,296.85,2080,9,"A pioneering Robotics startup based in Bengaluru, focused on sustainable growth.",2018-11-11 13:43:15,2023-01-05 13:02:00
24,AgriVision Tech,agrivision-tech,No,DPIIT61172,2018,1,11,7,Varanasi,Angel,2899928,11564425,130832089,147,No,No,Yes,No,https://www.agrivision-tech.in,hello@agrivision-tech.in,+91-7992006484,https://linkedin.com/company/agrivision-tech,Acquired,2020-02-29,138.77,27,5,"A innovative Cybersecurity startup based in Varanasi, focused on market disruption.",2018-05-02 20:36:50,2024-02-06 20:58:16
25,RetailX Now,retailx-now,Yes,DPIIT69468,2021,1,7,1,Mangaluru,Pre-Seed,553771,2665332,7194481,165,No,No,No,No,https://www.retailx-now.in,hello@retailx-now.com,+91-9802563740,https://linkedin.com/company/retailx-now,Active,2021-11-10,121.49,58,2,"A innovative E-Commerce startup based in Mangaluru, focused on market disruption.",2021-09-09 23:49:51,2024-01-23 08:42:03
26,SkillUp India,skillup-india,No,DPIIT61222,2016,1,4,13,Visakhapatnam,Seed,4888954,11450033,58486342,41,No,Yes,No,Yes,https://www.skillup-india.co.in,hello@skillup-india.com,+91-9089575851,https://linkedin.com/company/skillup-india,Active,2018-12-09,162.87,6,1,"A emerging AgriTech startup based in Visakhapatnam, focused on AI-driven insights.",2016-11-17 20:58:28,2023-06-14 05:19:00
27,RoboArm Tech,roboarm-tech,No,DPIIT38351,2020,3,4,5,Chennai,IPO,1044712371,3645450429,330641422,4965,No,No,Yes,No,https://www.roboarm-tech.com,hello@roboarm-tech.in,+91-7595132228,https://linkedin.com/company/roboarm-tech,Active,2020-01-11,178.3,1802,0,"A innovative AgriTech startup based in Chennai, focused on sustainable growth.",2020-10-07 15:12:05,2023-12-23 22:35:41
28,NeuralHub Hub,neuralhub-hub,Yes,DPIIT68478,2015,4,14,6,Rajkot,Series A,11709915,30520522,135267739,1466,No,No,No,No,https://www.neuralhub-hub.io,hello@neuralhub-hub.io,+91-7461962857,https://linkedin.com/company/neuralhub-hub,Active,2022-09-15,273.82,1245,3,"A emerging EV startup based in Rajkot, focused on scalable solutions.",2016-08-03 11:23:57,2024-10-09 02:28:10
29,TaxiApp,taxiapp,No,DPIIT29010,2013,4,14,16,Rourkela,Angel,2725070,9997435,214839264,12,No,No,Yes,No,https://www.taxiapp.com,hello@taxiapp.io,+91-8412483267,https://linkedin.com/company/taxiapp,Inactive,2017-01-13,59.62,5,3,"A pioneering EV startup based in Rourkela, focused on scalable solutions.",2014-07-30 02:24:18,2024-09-08 06:33:13
30,RoboSys Now,robosys-now,Yes,DPIIT26265,2017,2,3,2,Thane,Series B,63370453,208268369,367216786,3615,No,No,Yes,No,https://www.robosys-now.co.in,hello@robosys-now.com,+91-9475678519,https://linkedin.com/company/robosys-now,Active,2020-08-04,164.5,89,2,"A leading EdTech startup based in Thane, focused on market disruption.",2017-01-05 14:18:08,2024-02-17 01:57:34
31,TasteBox Now,tastebox-now,No,DPIIT69582,2016,4,3,1,Bengaluru,Series A,18922576,82239618,223843770,2515,No,No,No,Yes,https://www.tastebox-now.io,hello@tastebox-now.io,+91-7441280475,https://linkedin.com/company/tastebox-now,Inactive,2019-07-23,206.56,121,1,"A leading EdTech startup based in Bengaluru, focused on digital transformation.",2016-05-22 03:20:55,2024-12-05 23:27:14
32,SaaSify India,saasify-india,Yes,DPIIT32326,2013,3,1,2,Nagpur,Bootstrapped,0,440326,140418766,16,No,Yes,No,Yes,https://www.saasify-india.in,hello@saasify-india.in,+91-7635661517,https://linkedin.com/company/saasify-india,Active,,234.53,14,4,"A emerging FinTech startup based in Nagpur, focused on AI-driven insights.",2014-11-16 03:33:33,2023-09-04 18:30:42
33,CityRide Solutions,cityride-solutions,Yes,DPIIT38329,2020,2,8,2,Nashik,Pre-Seed,1121248,4665621,45449838,95,Yes,No,No,No,https://www.cityride-solutions.co.in,hello@cityride-solutions.com,+91-8462222211,https://linkedin.com/company/cityride-solutions,Active,2024-09-07,339.55,28,4,"A pioneering Logistics startup based in Nashik, focused on sustainable growth.",2021-12-26 14:41:09,2024-05-31 03:58:08
34,UrbanRide Ventures,urbanride-ventures,Yes,DPIIT12174,2018,1,17,3,Janakpuri,Seed,2678581,7171207,37850448,76,Yes,No,Yes,Yes,https://www.urbanride-ventures.co.in,hello@urbanride-ventures.io,+91-9280135461,https://linkedin.com/company/urbanride-ventures,Active,2019-11-04,150.55,59,2,"A pioneering FoodTech startup based in Janakpuri, focused on digital transformation.",2019-07-18 02:22:27,2023-08-06 04:25:32
35,ServeCloud Now,servecloud-now,Yes,DPIIT42629,2015,4,9,2,Nashik,Series A,5824338,21571833,393990370,3511,Yes,Yes,Yes,Yes,https://www.servecloud-now.com,hello@servecloud-now.io,+91-8143226860,https://linkedin.com/company/servecloud-now,Active,2018-04-19,171.89,979,0,"A leading Renewable Energy startup based in Nashik, focused on sustainable growth.",2015-08-20 19:44:45,2024-02-19 12:25:06
36,UrbanRide Box,urbanride-box,Yes,DPIIT50019,2016,1,16,8,Kozhikode,Seed,4295580,9858799,187634106,168,No,No,Yes,No,https://www.urbanride-box.com,hello@urbanride-box.com,+91-7804638123,https://linkedin.com/company/urbanride-box,Active,2023-12-01,48.48,87,3,"A innovative ClimateTech startup based in Kozhikode, focused on digital transformation.",2017-11-13 15:27:21,2023-01-22 05:16:56
37,BioCore Tech,biocore-tech,Yes,DPIIT75948,2019,1,12,5,Chennai,IPO,1552324120,2332808952,469805633,2077,No,Yes,No,Yes,https://www.biocore-tech.com,hello@biocore-tech.in,+91-8441723238,https://linkedin.com/company/biocore-tech,Active,2020-03-24,231.62,1855,15,"A pioneering BioTech startup based in Chennai, focused on market disruption.",2019-09-21 21:31:16,2024-01-09 14:00:52
38,MoveIt Solutions,moveit-solutions,Yes,DPIIT37041,2015,3,4,6,Rajkot,Angel,2678139,4364954,80403412,110,No,No,Yes,No,https://www.moveit-solutions.com,hello@moveit-solutions.in,+91-9692479387,https://linkedin.com/company/moveit-solutions,Active,2022-05-24,193.71,88,4,"A emerging AgriTech startup based in Rajkot, focused on market disruption.",2015-06-29 08:58:43,2023-12-24 10:25:37
39,FieldSense Solutions,fieldsense-solutions,Yes,DPIIT29690,2021,1,17,2,Mumbai,Series C,244381130,498600346,233711861,3777,No,No,No,No,https://www.fieldsense-solutions.io,hello@fieldsense-solutions.in,+91-8238067088,https://linkedin.com/company/fieldsense-solutions,Active,2022-12-12,164.6,266,2,"A leading FoodTech startup based in Mumbai, focused on AI-driven insights.",2021-02-11 06:18:52,2024-08-30 03:03:31
40,ShopZone,shopzone,Yes,DPIIT72020,2022,3,2,3,New Delhi,Angel,1968921,5329584,422585021,133,Yes,No,Yes,No,https://www.shopzone.co.in,hello@shopzone.in,+91-7421502469,https://linkedin.com/company/shopzone,Active,2022-11-14,196.53,68,2,"A pioneering HealthTech startup based in New Delhi, focused on scalable solutions.",2023-08-01 13:43:56,2023-11-27 18:08:43
41,DroneBot Labs,dronebot-labs,No,DPIIT99805,2019,4,7,2,Nashik,Angel,859023,2535643,305226003,165,No,No,No,No,https://www.dronebot-labs.co.in,hello@dronebot-labs.in,+91-8806058066,https://linkedin.com/company/dronebot-labs,Acquired,2021-01-21,236.83,107,3,"A leading E-Commerce startup based in Nashik, focused on market disruption.",2019-01-28 13:05:48,2023-05-24 19:58:19
42,FoodHub Labs,foodhub-labs,Yes,DPIIT53710,2014,4,5,4,Warangal,Series B,57955068,165676314,29741935,3266,No,No,Yes,Yes,https://www.foodhub-labs.io,hello@foodhub-labs.io,+91-9067888877,https://linkedin.com/company/foodhub-labs,Active,2018-07-09,0.24,2830,2,"A leading AI/ML startup based in Warangal, focused on digital transformation.",2015-08-22 21:32:47,2023-02-24 22:13:33
43,LearnSphere Now,learnsphere-now,Yes,DPIIT30056,2016,1,5,6,Rajkot,Seed,3834010,16482865,458551295,44,Yes,No,Yes,Yes,https://www.learnsphere-now.com,hello@learnsphere-now.com,+91-7877434572,https://linkedin.com/company/learnsphere-now,Active,2023-01-17,210.76,8,3,"A leading AI/ML startup based in Rajkot, focused on market disruption.",2017-03-30 12:03:59,2023-05-05 09:25:30
44,FleetEdge Labs,fleetedge-labs,Yes,DPIIT72411,2022,2,15,8,Kozhikode,Bootstrapped,0,1033447,233118124,42,No,No,Yes,Yes,https://www.fleetedge-labs.co.in,hello@fleetedge-labs.in,+91-9867748200,https://linkedin.com/company/fleetedge-labs,Active,,43.19,19,12,"A emerging Robotics startup based in Kozhikode, focused on digital transformation.",2023-04-21 13:52:27,2023-06-01 00:18:29
45,FoodRoot Pro,foodroot-pro,No,DPIIT55722,2014,1,2,3,Rohini,Series B,680709,358542620,23887769,2955,No,No,No,Yes,https://www.foodroot-pro.in,hello@foodroot-pro.io,+91-7650269701,https://linkedin.com/company/foodroot-pro,Failed,2019-04-01,-20.09,1443,5,"A pioneering HealthTech startup based in Rohini, focused on AI-driven insights.",2014-05-24 08:50:48,2024-11-05 09:59:25
46,SwiftLogix Plus,swiftlogix-plus,No,DPIIT30863,2014,3,6,4,Warangal,Series B,54022866,257907790,283090181,2173,No,Yes,Yes,Yes,https://www.swiftlogix-plus.co.in,hello@swiftlogix-plus.io,+91-9046178280,https://linkedin.com/company/swiftlogix-plus,Inactive,2021-10-29,-3.38,1327,1,"A innovative SaaS startup based in Warangal, focused on digital transformation.",2014-06-28 23:57:24,2024-03-06 02:03:39
47,SnackBox India,snackbox-india,Yes,DPIIT47498,2014,4,15,1,Bengaluru,Series C,242815043,1042069391,452336292,291,No,Yes,Yes,No,https://www.snackbox-india.co.in,hello@snackbox-india.io,+91-7825904244,https://linkedin.com/company/snackbox-india,Active,2017-08-08,53.9,46,18,"A leading Robotics startup based in Bengaluru, focused on digital transformation.",2014-07-28 01:51:08,2023-01-06 11:49:26
48,AppSuite Now,appsuite-now,Yes,DPIIT91981,2015,4,6,9,Udaipur,Series B,68874279,275709359,284550790,4114,No,No,No,Yes,https://www.appsuite-now.in,hello@appsuite-now.io,+91-8280875150,https://linkedin.com/company/appsuite-now,Active,2024-05-02,295.77,828,0,"A emerging SaaS startup based in Udaipur, focused on scalable solutions.",2015-02-22 19:34:21,2023-01-24 07:52:18
49,CreditAI Solutions,creditai-solutions,Yes,DPIIT44478,2020,3,3,3,Rohini,Bootstrapped,0,1324250,155655867,24,Yes,No,Yes,No,https://www.creditai-solutions.co.in,hello@creditai-solutions.in,+91-7861189310,https://linkedin.com/company/creditai-solutions,Active,,238.08,12,0,"A innovative EdTech startup based in Rohini, focused on scalable solutions.",2021-07-14 23:21:59,2024-11-10 01:15:31
50,BioCore Byte,biocore-byte,Yes,DPIIT72599,2020,3,12,15,Patna,IPO,1193868972,4359827949,397902970,710,No,No,No,No,https://www.biocore-byte.com,hello@biocore-byte.com,+91-7113188791,https://linkedin.com/company/biocore-byte,Active,2022-09-07,163.74,202,17,"A emerging BioTech startup based in Patna, focused on digital transformation.",2021-07-19 15:03:24,2024-01-22 22:08:27
51,CloudServe AI,cloudserve-ai,No,DPIIT80283,2017,2,15,4,Hyderabad,Seed,3582236,11542481,189865334,54,No,No,Yes,Yes,https://www.cloudserve-ai.in,hello@cloudserve-ai.com,+91-7329044656,https://linkedin.com/company/cloudserve-ai,Active,2021-11-24,197.79,5,4,"A emerging Robotics startup based in Hyderabad, focused on scalable solutions.",2017-10-17 01:20:22,2024-09-08 20:56:15
52,NeuralHub Tech,neuralhub-tech,No,DPIIT51793,2019,4,4,5,Salem,Series B,25125632,71269569,292867830,1736,No,No,No,Yes,https://www.neuralhub-tech.com,hello@neuralhub-tech.in,+91-8764517955,https://linkedin.com/company/neuralhub-tech,Active,2023-01-02,301.52,1446,4,"A emerging AgriTech startup based in Salem, focused on sustainable growth.",2019-03-22 06:58:08,2024-06-17 07:19:47
53,CropBot Labs,cropbot-labs,No,DPIIT21074,2013,1,2,1,Mysuru,IPO,1853901,8885461203,411272447,3767,No,Yes,Yes,No,https://www.cropbot-labs.co.in,hello@cropbot-labs.com,+91-8643203736,https://linkedin.com/company/cropbot-labs,Failed,2013-06-24,-53.11,1577,3,"A leading HealthTech startup based in Mysuru, focused on scalable solutions.",2013-07-30 12:11:42,2024-03-17 17:03:42
54,TutorAI Byte,tutorai-byte,No,DPIIT17486,2021,1,11,3,New Delhi,Bootstrapped,0,2202284,435996264,197,No,Yes,No,No,https://www.tutorai-byte.co.in,hello@tutorai-byte.in,+91-9459309237,https://linkedin.com/company/tutorai-byte,Active,,248.54,186,4,"A pioneering Cybersecurity startup based in New Delhi, focused on scalable solutions.",2022-01-26 14:47:59,2023-09-01 04:58:00
55,SkillUp Byte,skillup-byte,Yes,DPIIT44670,2018,3,3,6,Vadodara,IPO,1956438330,5265985305,182211302,4728,No,Yes,No,Yes,https://www.skillup-byte.co.in,hello@skillup-byte.com,+91-9003342401,https://linkedin.com/company/skillup-byte,Active,2018-06-08,25.99,305,2,"A emerging EdTech startup based in Vadodara, focused on market disruption.",2018-08-12 13:03:37,2023-03-23 08:57:39
56,CropBot Ventures,cropbot-ventures,Yes,DPIIT67712,2014,2,6,15,Muzaffarpur,Angel,1658233,4664535,467570550,131,Yes,No,Yes,No,https://www.cropbot-ventures.com,hello@cropbot-ventures.io,+91-8112631668,https://linkedin.com/company/cropbot-ventures,Active,2016-07-20,22.35,67,0,"A pioneering SaaS startup based in Muzaffarpur, focused on market disruption.",2014-02-15 19:15:22,2023-04-22 02:32:28
57,ClimaCare Now,climacare-now,No,DPIIT95456,2013,2,11,1,Mysuru,Series B,75642499,334303703,366617821,3457,No,No,No,No,https://www.climacare-now.com,hello@climacare-now.com,+91-8581844680,https://linkedin.com/company/climacare-now,Active,2022-07-26,204.58,184,2,"A innovative Cybersecurity startup based in Mysuru, focused on market disruption.",2013-01-27 03:38:13,2023-11-17 16:45:49
58,FireWall Now,firewall-now,No,DPIIT80643,2018,2,7,7,Kanpur,Series A,14775853,24351496,353756040,1279,No,No,Yes,Yes,https://www.firewall-now.co.in,hello@firewall-now.io,+91-9252487296,https://linkedin.com/company/firewall-now,Active,2018-11-18,349.19,1067,3,"A pioneering E-Commerce startup based in Kanpur, focused on sustainable growth.",2018-07-19 18:18:58,2023-09-07 10:15:51
59,DroneBot Ventures,dronebot-ventures,No,DPIIT26420,2017,3,4,2,Nagpur,Series B,260314,184834542,195283470,702,No,No,Yes,No,https://www.dronebot-ventures.in,hello@dronebot-ventures.io,+91-8117889577,https://linkedin.com/company/dronebot-ventures,Failed,2023-04-15,-63.92,295,2,"A pioneering AgriTech startup based in Nagpur, focused on digital transformation.",2017-03-25 13:26:32,2023-06-01 18:31:40
60,PharmaBio Byte,pharmabio-byte,No,DPIIT31880,2020,1,15,2,Pune,Pre-Seed,1657877,2885811,142398979,200,Yes,Yes,Yes,No,https://www.pharmabio-byte.co.in,hello@pharmabio-byte.in,+91-7547406404,https://linkedin.com/company/pharmabio-byte,Failed,2023-12-27,-21.63,104,22,"A innovative Robotics startup based in Pune, focused on sustainable growth.",2020-05-01 10:57:52,2023-12-11 18:38:39
61,RoboSys Box,robosys-box,No,DPIIT58480,2016,2,15,1,Mangaluru,Bootstrapped,1568244,3772807,398658930,116,No,No,No,No,https://www.robosys-box.io,hello@robosys-box.in,+91-7759016330,https://linkedin.com/company/robosys-box,Failed,,-17.31,67,23,"A pioneering Robotics startup based in Mangaluru, focused on digital transformation.",2016-08-25 09:31:21,2023-02-19 18:33:57
62,LendEasy Pro,lendeasy-pro,No,DPIIT47728,2012,3,10,4,Warangal,Angel,1836214,9107015,96786257,41,Yes,No,Yes,No,https://www.lendeasy-pro.co.in,hello@lendeasy-pro.com,+91-7727227199,https://linkedin.com/company/lendeasy-pro,Acquired,2016-09-21,108.52,20,30,"A pioneering DeepTech startup based in Warangal, focused on market disruption.",2012-04-18 07:42:17,2023-05-25 03:13:35
63,MetroRide Tech,metroride-tech,No,DPIIT25720,2021,2,7,1,Bengaluru,Pre-Seed,1192393,2381052,110060460,77,No,No,No,No,https://www.metroride-tech.io,hello@metroride-tech.com,+91-7587628970,https://linkedin.com/company/metroride-tech,Failed,2023-05-24,-29.86,37,5,"A leading E-Commerce startup based in Bengaluru, focused on sustainable growth.",2021-03-22 23:50:14,2023-03-18 10:10:32
64,BioSynth Solutions,biosynth-solutions,No,DPIIT86853,2023,2,11,3,New Delhi,Bootstrapped,765902,321760,233667841,30,No,No,No,No,https://www.biosynth-solutions.in,hello@biosynth-solutions.in,+91-9019130310,https://linkedin.com/company/biosynth-solutions,Failed,,-36.09,6,3,"A innovative Cybersecurity startup based in New Delhi, focused on AI-driven insights.",2023-10-17 04:12:40,2023-04-01 16:54:46
65,BioLab Labs,biolab-labs,No,DPIIT49334,2018,2,16,1,Bengaluru,Series B,33995350,146286338,96624778,367,No,Yes,No,No,https://www.biolab-labs.co.in,hello@biolab-labs.io,+91-8684529344,https://linkedin.com/company/biolab-labs,Acquired,2020-12-13,176.27,308,2,"A emerging ClimateTech startup based in Bengaluru, focused on sustainable growth.",2018-04-09 07:07:56,2023-10-22 13:28:20
66,EcoBalance Plus,ecobalance-plus,No,DPIIT63609,2023,4,15,3,Dwarka,IPO,1861861,3065617659,375182158,3311,No,Yes,No,No,https://www.ecobalance-plus.io,hello@ecobalance-plus.io,+91-8364160473,https://linkedin.com/company/ecobalance-plus,Failed,2023-05-12,-64.94,1686,12,"A emerging Robotics startup based in Dwarka, focused on AI-driven insights.",2024-02-13 08:58:03,2023-10-02 15:46:14
67,NetSec Plus,netsec-plus,No,DPIIT59700,2022,2,15,8,Kozhikode,Series A,14605051,33083560,288769843,1739,Yes,Yes,No,No,https://www.netsec-plus.io,hello@netsec-plus.io,+91-7272579142,https://linkedin.com/company/netsec-plus,Inactive,2022-08-14,331.6,1343,1,"A innovative Robotics startup based in Kozhikode, focused on sustainable growth.",2023-07-03 06:10:53,2024-07-02 12:55:45
